Date,Recent graduates,College graduates
1-May,42.0,34.3
1-Jun,42.1,34.6
1-Jul,41.3,34.6
1-Aug,40.8,34.5
1-Sep,40.4,34.2
1-Oct,41.0,34.1
1-Nov,41.8,34.1
1-Dec,42.3,34.1
1-Jan,42.2,34.1
1-Feb,41.7,34.1
1-Mar,41.3,34.2
1-Apr,41.2,34.3
1-May,41.7,34.4
1-Jun,41.3,34.3
1-Jul,41.0,34.2
1-Aug,40.4,34.0
1-Sep,41.4,34.0
1-Oct,42.0,33.8
1-Nov,42.4,33.6
1-Dec,41.4,33.4
1-Jan,41.1,33.6
1-Feb,41.3,33.9
1-Mar,41.7,34.1
1-Apr,40.7,33.4
1-May,39.2,32.6
1-Jun,38.3,31.8
1-Jul,39.2,32.0
1-Aug,41.1,32.5
1-Sep,43.0,33.1
1-Oct,43.3,33.4
1-Nov,42.1,33.5
1-Dec,40.7,33.4
1-Jan,40.0,33.3
1-Feb,40.1,33.3
1-Mar,40.3,33.4
1-Apr,40.7,33.7
1-May,40.8,33.8
1-Jun,40.9,33.7
1-Jul,40.9,33.4
1-Aug,41.2,33.2
1-Sep,41.3,33.1
1-Oct,41.4,33.4
1-Nov,41.2,33.5
1-Dec,41.3,33.9
1-Jan,41.3,33.9
1-Feb,41.5,33.9
1-Mar,41.4,33.7
1-Apr,41.5,33.7
1-May,41.4,33.6
1-Jun,41.1,33.6
