Date,Good non-college jobs: college graduates,Good non-college jobs: recent college graduates,Low-wage jobs: recent college graduates,Low-wage jobs: college graduates
1-Oct,47.4,39.4,12.0,7.1
1-Nov,47.4,39.2,12.0,7.2
1-Dec,47.4,39.2,11.8,7.2
1-Jan,47.3,38.8,11.9,7.3
1-Feb,47.3,38.3,12.1,7.3
1-Mar,47.4,38.1,12.4,7.3
1-Apr,47.4,38.2,12.6,7.4
1-May,47.5,38.3,12.6,7.4
1-Jun,47.6,38.7,12.5,7.4
1-Jul,47.6,38.8,12.6,7.4
1-Aug,47.6,38.7,12.8,7.5
1-Sep,47.5,38.7,13.1,7.5
1-Oct,47.3,38.4,13.4,7.6
1-Nov,47.1,38.3,13.7,7.7
1-Dec,47.0,38.0,14.0,7.7
1-Jan,47.0,37.9,14.2,7.7
1-Feb,47.0,37.8,14.2,7.7
1-Mar,46.9,37.7,14.3,7.8
1-Apr,46.9,37.4,14.3,7.8
1-May,46.8,37.0,14.4,7.8
1-Jun,46.7,36.5,14.7,7.8
1-Jul,46.6,36.2,14.8,7.7
1-Aug,46.6,36.1,14.9,7.7
1-Sep,46.5,35.7,14.8,7.7
1-Oct,46.4,35.3,15.0,7.7
1-Nov,46.4,35.0,15.0,7.7
1-Dec,46.3,34.9,14.9,7.6
1-Jan,46.2,34.5,14.8,7.7
1-Feb,46.1,34.7,14.8,7.7
1-Mar,46.1,34.8,14.6,7.6
1-Apr,46.1,34.9,14.5,7.6
1-May,46.2,34.9,14.4,7.6
1-Jun,46.2,35.0,14.2,7.6
1-Jul,46.2,35.0,14.2,7.6
1-Aug,46.1,34.9,14.2,7.6
1-Sep,46.0,34.9,14.4,7.6
1-Oct,45.9,34.8,14.4,7.5
1-Nov,45.7,35.0,14.4,7.4
1-Dec,45.6,34.9,14.5,7.4
1-Jan,45.5,35.1,14.5,7.4
1-Feb,45.4,35.0,14.5,7.4
1-Mar,45.2,34.7,14.5,7.5
1-Apr,45.1,34.5,14.6,7.5
1-May,44.9,34.4,14.6,7.5
1-Jun,44.7,34.2,14.7,7.6
1-Jul,44.5,33.9,14.7,7.7
1-Aug,44.4,33.7,14.6,7.8
1-Sep,44.4,33.7,14.5,7.8
1-Oct,44.4,33.9,14.4,7.8
1-Nov,44.3,33.8,14.3,7.9
1-Dec,44.3,33.7,14.3,7.9
1-Jan,44.3,33.4,14.2,7.9
1-Feb,44.3,33.3,14.2,7.9
1-Mar,44.4,33.4,14.2,7.8
1-Apr,44.5,33.5,14.1,7.9
1-May,44.5,33.7,14.1,7.9
1-Jun,44.7,34.0,14.0,7.8
1-Jul,44.8,34.2,14.0,7.8
1-Aug,44.9,34.8,13.8,7.7
1-Sep,44.9,34.9,13.8,7.7
1-Oct,44.9,34.8,13.7,7.6
1-Nov,45.0,35.0,13.7,7.5
1-Dec,45.1,35.0,13.8,7.5
1-Jan,45.1,35.5,13.8,7.5
1-Feb,45.1,36.0,14.0,7.6
1-Mar,45.0,36.6,13.9,7.6
1-Apr,44.9,37.1,13.9,7.7
1-May,44.8,37.6,14.1,7.8
1-Jun,44.7,37.8,14.1,7.8
1-Jul,44.5,37.9,14.0,7.9
1-Aug,44.4,37.9,14.0,7.9
1-Sep,44.3,37.9,14.0,8.0
1-Oct,44.2,37.8,13.9,8.1
1-Nov,44.2,37.8,13.8,8.1
1-Dec,44.2,38.1,13.6,8.1
1-Jan,44.3,38.1,13.5,8.0
1-Feb,44.3,38.2,13.5,7.9
1-Mar,44.3,37.9,13.5,7.9
1-Apr,44.3,37.7,13.5,7.8
1-May,44.3,37.4,13.4,7.7
1-Jun,44.3,37.1,13.6,7.7
1-Jul,44.3,37.0,13.8,7.6
1-Aug,44.3,36.8,13.8,7.6
1-Sep,44.4,36.7,13.8,7.5
1-Oct,44.5,37.0,13.7,7.4
1-Nov,44.5,36.7,13.6,7.4
1-Dec,44.5,36.6,13.7,7.4
1-Jan,44.4,36.6,13.7,7.4
1-Feb,44.5,36.5,13.8,7.4
1-Mar,44.6,36.4,13.9,7.4
1-Apr,44.6,36.4,13.7,7.4
1-May,44.5,36.2,13.6,7.4
1-Jun,44.5,36.0,13.3,7.4
1-Jul,44.4,35.9,13.1,7.4
1-Aug,44.4,35.6,13.2,7.5
1-Sep,44.3,35.6,13.2,7.6
1-Oct,44.3,35.7,13.4,7.6
1-Nov,44.2,35.7,13.4,7.7
1-Dec,44.1,35.4,13.2,7.7
1-Jan,44.1,35.2,13.1,7.7
1-Feb,44.0,34.8,13.1,7.7
1-Mar,43.9,34.8,13.1,7.7
1-Apr,43.8,35.0,13.1,7.8
1-May,43.8,35.5,12.9,7.8
1-Jun,43.8,35.9,12.9,7.8
1-Jul,43.7,36.2,12.8,7.8
1-Aug,43.8,36.6,12.8,7.7
1-Sep,43.8,37.1,12.6,7.7
1-Oct,43.8,37.2,12.6,7.7
1-Nov,43.9,37.5,12.7,7.7
1-Dec,44.0,37.7,12.9,7.6
1-Jan,44.0,37.5,13.0,7.6
1-Feb,43.9,37.4,13.1,7.6
1-Mar,43.8,36.9,13.3,7.6
1-Apr,43.7,36.1,13.5,7.7
1-May,43.8,35.5,13.8,7.6
1-Jun,43.9,35.1,13.8,7.6
1-Jul,44.1,34.9,13.7,7.5
1-Aug,44.3,34.9,13.5,7.4
1-Sep,44.3,34.8,13.2,7.4
1-Oct,44.3,35.0,13.0,7.3
1-Nov,44.3,34.9,12.7,7.2
1-Dec,44.2,35.0,12.7,7.2
1-Jan,44.1,35.1,12.6,7.3
1-Feb,44.0,35.0,12.4,7.2
1-Mar,44.0,35.2,12.2,7.2
1-Apr,44.0,35.8,11.9,7.2
1-May,43.9,36.2,11.6,7.2
1-Jun,43.8,36.7,11.5,7.2
1-Jul,43.7,36.9,11.6,7.2
1-Aug,43.7,36.8,11.6,7.3
1-Sep,43.6,36.5,11.8,7.4
1-Oct,43.5,36.0,12.3,7.4
1-Nov,43.6,35.9,12.6,7.5
1-Dec,43.6,36.0,12.8,7.6
1-Jan,43.6,36.3,12.9,7.7
1-Feb,43.7,36.6,12.9,7.7
1-Mar,43.9,37.0,12.8,7.7
1-Apr,44.1,37.0,12.7,7.5
1-May,44.2,36.7,12.6,7.4
1-Jun,44.3,36.3,12.3,7.3
1-Jul,44.3,35.9,12.2,7.2
1-Aug,44.3,35.5,12.1,7.1
1-Sep,44.4,35.4,11.9,7.0
1-Oct,44.4,35.5,11.6,6.9
1-Nov,44.5,35.4,11.3,6.8
1-Dec,44.6,35.5,10.8,6.7
1-Jan,44.5,35.2,10.7,6.6
1-Feb,44.5,35.0,10.5,6.5
1-Mar,44.4,34.9,10.5,6.5
1-Apr,44.2,34.7,10.6,6.6
1-May,44.2,34.9,10.6,6.6
1-Jun,44.0,34.9,10.8,6.7
1-Jul,43.9,35.0,10.9,6.9
1-Aug,43.8,35.2,10.9,6.9
1-Sep,43.8,35.0,11.1,7.0
1-Oct,43.7,34.8,11.1,7.0
1-Nov,43.6,34.4,11.3,7.1
1-Dec,43.6,34.4,11.4,7.1
1-Jan,43.7,34.5,11.4,7.1
1-Feb,43.8,34.5,11.4,7.2
1-Mar,43.8,34.3,11.3,7.1
1-Apr,43.9,34.5,11.0,7.0
1-May,43.9,34.7,11.1,7.1
1-Jun,44.1,35.2,11.1,7.1
